0 23J56 (HighCard, [2, 3, 11, 5, 6])
487 4T334 (TwoPair, [4, 10, 3, 3, 4])
488 4TT42 (TwoPair, [4, 10, 10, 4, 2])
489 4JJQQ (TwoPair, [4, 11, 11, 12, 12])
490 4Q34Q (TwoPair, [4, 12, 3, 4, 12])
491 4K4TK (TwoPair, [4, 13, 4, 10, 13])
492 4K4KJ (TwoPair, [4, 13, 4, 13, 11])
493 4KK48 (TwoPair, [4, 13, 13, 4, 8])
494 4KKQQ (TwoPair, [4, 13, 13, 12, 12])
495 52885 (TwoPair, [5, 2, 8, 8, 5])
496 53252 (TwoPair, [5, 3, 2, 5, 2])
497 53QQ5 (TwoPair, [5, 3, 12, 12, 5])
498 53AA5 (TwoPair, [5, 3, 14, 14, 5])
499 544JJ (TwoPair, [5, 4, 4, 11, 11])
500 54J5J (TwoPair, [5, 4, 11, 5, 11])
501 552QQ (TwoPair, [5, 5, 2, 12, 12])
502 557KK (TwoPair, [5, 5, 7, 13, 13])
503 55TT7 (TwoPair, [5, 5, 10, 10, 7])
504 56A65 (TwoPair, [5, 6, 14, 6, 5])
505 57765 (TwoPair, [5, 7, 7, 6, 5])
506 5959T (TwoPair, [5, 9, 5, 9, 10])
507 5J33J (TwoPair, [5, 11, 3, 3, 11])
508 5A65A (TwoPair, [5, 14, 6, 5, 14])
509 62296 (TwoPair, [6, 2, 2, 9, 6])
510 626J2 (TwoPair, [6, 2, 6, 11, 2])
511 63TT6 (TwoPair, [6, 3, 10, 10, 6])
512 644JJ (TwoPair, [6, 4, 4, 11, 11])
513 64643 (TwoPair, [6, 4, 6, 4, 3])
514 65568 (TwoPair, [6, 5, 5, 6, 8])
515 65995 (TwoPair, [6, 5, 9, 9, 5])
516 66242 (TwoPair, [6, 6, 2, 4, 2])
517 66Q3Q (TwoPair, [6, 6, 12, 3, 12])
518 696J9 (TwoPair, [6, 9, 6, 11, 9])
519 696Q9 (TwoPair, [6, 9, 6, 12, 9])
520 6T6TA (TwoPair, [6, 10, 6, 10, 14])
521 6TJ6T (TwoPair, [6, 10, 11, 6, 10])
522 6Q68Q (TwoPair, [6, 12, 6, 8, 12])
523 6Q8Q8 (TwoPair, [6, 12, 8, 12, 8])
524 6A6A3 (TwoPair, [6, 14, 6, 14, 3])
525 6A86A (TwoPair, [6, 14, 8, 6, 14])
526 6AA76 (TwoPair, [6, 14, 14, 7, 6])
527 7373J (TwoPair, [7, 3, 7, 3, 11])
528 744J7 (TwoPair, [7, 4, 4, 11, 7])
529 75547 (TwoPair, [7, 5, 5, 4, 7])
530 75676 (TwoPair, [7, 5, 6, 7, 6])
531 76227 (TwoPair, [7, 6, 2, 2, 7])
532 79494 (TwoPair, [7, 9, 4, 9, 4])
533 7J755 (TwoPair, [7, 11, 7, 5, 5])
534 7J7J4 (TwoPair, [7, 11, 7, 11, 4])
535 7J979 (TwoPair, [7, 11, 9, 7, 9])
536 7JJ7K (TwoPair, [7, 11, 11, 7, 13])
537 7QA7A (TwoPair, [7, 12, 14, 7, 14])
538 7K227 (TwoPair, [7, 13, 2, 2, 7])
539 7A57A (TwoPair, [7, 14, 5, 7, 14])
540 7A7AJ (TwoPair, [7, 14, 7, 14, 11])
541 7AAJJ (TwoPair, [7, 14, 14, 11, 11])
542 82T82 (TwoPair, [8, 2, 10, 8, 2])
543 8448K (TwoPair, [8, 4, 4, 8, 13])
544 84648 (TwoPair, [8, 4, 6, 4, 8])
545 848KK (TwoPair, [8, 4, 8, 13, 13])
546 85658 (TwoPair, [8, 5, 6, 5, 8])
547 85775 (TwoPair, [8, 5, 7, 7, 5])
548 8787J (TwoPair, [8, 7, 8, 7, 11])
549 882TT (TwoPair, [8, 8, 2, 10, 10])
550 886K6 (TwoPair, [8, 8, 6, 13, 6])
551 887AA (TwoPair, [8, 8, 7, 14, 14])
552 88997 (TwoPair, [8, 8, 9, 9, 7])
553 89J98 (TwoPair, [8, 9, 11, 9, 8])
554 8T668 (TwoPair, [8, 10, 6, 6, 8])
555 8T8KT (TwoPair, [8, 10, 8, 13, 10])
556 8TTJ8 (TwoPair, [8, 10, 10, 11, 8])
557 8J686 (TwoPair, [8, 11, 6, 8, 6])
558 8A8AJ (TwoPair, [8, 14, 8, 14, 11])
559 93392 (TwoPair, [9, 3, 3, 9, 2])
560 933KK (TwoPair, [9, 3, 3, 13, 13])
561 944AA (TwoPair, [9, 4, 4, 14, 14])
562 94934 (TwoPair, [9, 4, 9, 3, 4])
563 97474 (TwoPair, [9, 7, 4, 7, 4])
564 97766 (TwoPair, [9, 7, 7, 6, 6])
565 99ATT (TwoPair, [9, 9, 14, 10, 10])
566 9TQT9 (TwoPair, [9, 10, 12, 10, 9])
567 9TAA9 (TwoPair, [9, 10, 14, 14, 9])
568 9J955 (TwoPair, [9, 11, 9, 5, 5])
569 9Q779 (TwoPair, [9, 12, 7, 7, 9])
570 9A29A (TwoPair, [9, 14, 2, 9, 14])
571 9A69A (TwoPair, [9, 14, 6, 9, 14])
572 9AKAK (TwoPair, [9, 14, 13, 14, 13])
573 T2626 (TwoPair, [10, 2, 6, 2, 6])
574 T2T72 (TwoPair, [10, 2, 10, 7, 2])
575 T3AT3 (TwoPair, [10, 3, 14, 10, 3])
576 T499T (TwoPair, [10, 4, 9, 9, 10])
577 T4QQ4 (TwoPair, [10, 4, 12, 12, 4])
578 T6T56 (TwoPair, [10, 6, 10, 5, 6])
579 T73T7 (TwoPair, [10, 7, 3, 10, 7])
580 T7887 (TwoPair, [10, 7, 8, 8, 7])
581 T9TJ9 (TwoPair, [10, 9, 10, 11, 9])
582 T9TKK (TwoPair, [10, 9, 10, 13, 13])
583 TT522 (TwoPair, [10, 10, 5, 2, 2])
584 TT7QQ (TwoPair, [10, 10, 7, 12, 12])
585 TTJQQ (TwoPair, [10, 10, 11, 12, 12])
586 TTQQA (TwoPair, [10, 10, 12, 12, 14])
587 TJJT8 (TwoPair, [10, 11, 11, 10, 8])
588 TA5AT (TwoPair, [10, 14, 5, 14, 10])
589 TAKAT (TwoPair, [10, 14, 13, 14, 10])
590 J2Q2J (TwoPair, [11, 2, 12, 2, 11])
591 J49J4 (TwoPair, [11, 4, 9, 11, 4])
592 J5885 (TwoPair, [11, 5, 8, 8, 5])
593 J7722 (TwoPair, [11, 7, 7, 2, 2])
594 J8228 (TwoPair, [11, 8, 2, 2, 8])
595 JTTAA (TwoPair, [11, 10, 10, 14, 14])
596 JJ4T4 (TwoPair, [11, 11, 4, 10, 4])
597 JJ922 (TwoPair, [11, 11, 9, 2, 2])
598 JQQKK (TwoPair, [11, 12, 12, 13, 13])
599 JKAAK (TwoPair, [11, 13, 14, 14, 13])
600 Q2Q23 (TwoPair, [12, 2, 12, 2, 3])
601 Q3AQA (TwoPair, [12, 3, 14, 12, 14])
602 Q4343 (TwoPair, [12, 4, 3, 4, 3])
603 Q5Q33 (TwoPair, [12, 5, 12, 3, 3])
604 Q7Q74 (TwoPair, [12, 7, 12, 7, 4])
605 Q99Q4 (TwoPair, [12, 9, 9, 12, 4])
606 Q9TQT (TwoPair, [12, 9, 10, 12, 10])
607 QJJ8Q (TwoPair, [12, 11, 11, 8, 12])
608 QJQ99 (TwoPair, [12, 11, 12, 9, 9])
609 QQ3J3 (TwoPair, [12, 12, 3, 11, 3])
610 QQ5J5 (TwoPair, [12, 12, 5, 11, 5])
611 QQ9K9 (TwoPair, [12, 12, 9, 13, 9])
612 QQJ9J (TwoPair, [12, 12, 11, 9, 11])
613 QK77Q (TwoPair, [12, 13, 7, 7, 12])
614 QK9QK (TwoPair, [12, 13, 9, 12, 13])
615 K322K (TwoPair, [13, 3, 2, 2, 13])
616 K33K7 (TwoPair, [13, 3, 3, 13, 7])
617 K3K32 (TwoPair, [13, 3, 13, 3, 2])
618 K474K (TwoPair, [13, 4, 7, 4, 13])
619 K4K94 (TwoPair, [13, 4, 13, 9, 4])
620 K88QK (TwoPair, [13, 8, 8, 12, 13])
621 K8K33 (TwoPair, [13, 8, 13, 3, 3])
622 KT33K (TwoPair, [13, 10, 3, 3, 13])
623 KTTK4 (TwoPair, [13, 10, 10, 13, 4])
624 KQQ6K (TwoPair, [13, 12, 12, 6, 13])
625 KK766 (TwoPair, [13, 13, 7, 6, 6])
626 KKJ22 (TwoPair, [13, 13, 11, 2, 2])
627 KA6A6 (TwoPair, [13, 14, 6, 14, 6])
628 A3344 (TwoPair, [14, 3, 3, 4, 4])
629 A3JJA (TwoPair, [14, 3, 11, 11, 14])
630 A7227 (TwoPair, [14, 7, 2, 2, 7])
631 A844A (TwoPair, [14, 8, 4, 4, 14])
632 A8A38 (TwoPair, [14, 8, 14, 3, 8])
633 A8AQQ (TwoPair, [14, 8, 14, 12, 12])
634 A9A9Q (TwoPair, [14, 9, 14, 9, 12])
635 AA8K8 (TwoPair, [14, 14, 8, 13, 8])
636 AA997 (TwoPair, [14, 14, 9, 9, 7])
637 222JT (ThreeKind, [2, 2, 2, 11, 10])
638 222K8 (ThreeKind, [2, 2, 2, 13, 8])
639 222AJ (ThreeKind, [2, 2, 2, 14, 11])
640 22582 (ThreeKind, [2, 2, 5, 8, 2])
641 227J2 (ThreeKind, [2, 2, 7, 11, 2])
642 24T44 (ThreeKind, [2, 4, 10, 4, 4])
643 25Q22 (ThreeKind, [2, 5, 12, 2, 2])
644 26922 (ThreeKind, [2, 6, 9, 2, 2])
645 27252 (ThreeKind, [2, 7, 2, 5, 2])
646 27377 (ThreeKind, [2, 7, 3, 7, 7])
647 2999A (ThreeKind, [2, 9, 9, 9, 14])
648 2KKK6 (ThreeKind, [2, 13, 13, 13, 6])
649 2AJAA (ThreeKind, [2, 14, 11, 14, 14])
650 2AK22 (ThreeKind, [2, 14, 13, 2, 2])
651 32T22 (ThreeKind, [3, 2, 10, 2, 2])
652 32J22 (ThreeKind, [3, 2, 11, 2, 2])
653 3332J (ThreeKind, [3, 3, 3, 2, 11])
654 3444J (ThreeKind, [3, 4, 4, 4, 11])
655 34833 (ThreeKind, [3, 4, 8, 3, 3])
656 353J3 (ThreeKind, [3, 5, 3, 11, 3])
657 36332 (ThreeKind, [3, 6, 3, 3, 2])
658 3J33Q (ThreeKind, [3, 11, 3, 3, 12])
659 3J363 (ThreeKind, [3, 11, 3, 6, 3])
660 3J733 (ThreeKind, [3, 11, 7, 3, 3])
661 3QQQK (ThreeKind, [3, 12, 12, 12, 13])
662 42272 (ThreeKind, [4, 2, 2, 7, 2])
663 422Q2 (ThreeKind, [4, 2, 2, 12, 2])
664 42322 (ThreeKind, [4, 2, 3, 2, 2])
665 42944 (ThreeKind, [4, 2, 9, 4, 4])
666 43888 (ThreeKind, [4, 3, 8, 8, 8])
667 43933 (ThreeKind, [4, 3, 9, 3, 3])
668 44247 (ThreeKind, [4, 4, 2, 4, 7])
669 44423 (ThreeKind, [4, 4, 4, 2, 3])
670 444AJ (ThreeKind, [4, 4, 4, 14, 11])
671 44849 (ThreeKind, [4, 4, 8, 4, 9])
672 448Q4 (ThreeKind, [4, 4, 8, 12, 4])
673 44945 (ThreeKind, [4, 4, 9, 4, 5])
674 45535 (ThreeKind, [4, 5, 5, 3, 5])
675 45KKK (ThreeKind, [4, 5, 13, 13, 13])
676 46TTT (ThreeKind, [4, 6, 10, 10, 10])
677 46KKK (ThreeKind, [4, 6, 13, 13, 13])
678 47484 (ThreeKind, [4, 7, 4, 8, 4])
679 47737 (ThreeKind, [4, 7, 7, 3, 7])
680 49T44 (ThreeKind, [4, 9, 10, 4, 4])
681 4TTT8 (ThreeKind, [4, 10, 10, 10, 8])
682 4TQ44 (ThreeKind, [4, 10, 12, 4, 4])
683 4J222 (ThreeKind, [4, 11, 2, 2, 2])
684 4Q454 (ThreeKind, [4, 12, 4, 5, 4])
685 52292 (ThreeKind, [5, 2, 2, 9, 2])
686 52553 (ThreeKind, [5, 2, 5, 5, 3])
687 53655 (ThreeKind, [5, 3, 6, 5, 5])
688 5552Q (ThreeKind, [5, 5, 5, 2, 12])
689 555T2 (ThreeKind, [5, 5, 5, 10, 2])
690 555T4 (ThreeKind, [5, 5, 5, 10, 4])
691 555J2 (ThreeKind, [5, 5, 5, 11, 2])
692 555QA (ThreeKind, [5, 5, 5, 12, 14])
693 55752 (ThreeKind, [5, 5, 7, 5, 2])
694 59939 (ThreeKind, [5, 9, 9, 3, 9])
695 5J355 (ThreeKind, [5, 11, 3, 5, 5])
696 5JJJ2 (ThreeKind, [5, 11, 11, 11, 2])
697 5AK55 (ThreeKind, [5, 14, 13, 5, 5])
698 62555 (ThreeKind, [6, 2, 5, 5, 5])
699 6466T (ThreeKind, [6, 4, 6, 6, 10])
700 64A66 (ThreeKind, [6, 4, 14, 6, 6])
701 662Q6 (ThreeKind, [6, 6, 2, 12, 6])
702 6667J (ThreeKind, [6, 6, 6, 7, 11])
703 666A3 (ThreeKind, [6, 6, 6, 14, 3])
704 666AT (ThreeKind, [6, 6, 6, 14, 10])
705 6T66Q (ThreeKind, [6, 10, 6, 6, 12])
706 6QQ8Q (ThreeKind, [6, 12, 12, 8, 12])
707 7555K (ThreeKind, [7, 5, 5, 5, 13])
708 76477 (ThreeKind, [7, 6, 4, 7, 7])
709 777J4 (ThreeKind, [7, 7, 7, 11, 4])
710 7797T (ThreeKind, [7, 7, 9, 7, 10])
711 77Q74 (ThreeKind, [7, 7, 12, 7, 4])
712 7Q767 (ThreeKind, [7, 12, 7, 6, 7])
713 7Q787 (ThreeKind, [7, 12, 7, 8, 7])
714 7KKK9 (ThreeKind, [7, 13, 13, 13, 9])
715 822T2 (ThreeKind, [8, 2, 2, 10, 2])
716 82J22 (ThreeKind, [8, 2, 11, 2, 2])
717 83533 (ThreeKind, [8, 3, 5, 3, 3])
718 83588 (ThreeKind, [8, 3, 5, 8, 8])
719 838T8 (ThreeKind, [8, 3, 8, 10, 8])
720 83J33 (ThreeKind, [8, 3, 11, 3, 3])
721 83QQQ (ThreeKind, [8, 3, 12, 12, 12])
722 87889 (ThreeKind, [8, 7, 8, 8, 9])
723 888A2 (ThreeKind, [8, 8, 8, 14, 2])
724 88JT8 (ThreeKind, [8, 8, 11, 10, 8])
725 89J88 (ThreeKind, [8, 9, 11, 8, 8])
726 8J688 (ThreeKind, [8, 11, 6, 8, 8])
727 8QJ88 (ThreeKind, [8, 12, 11, 8, 8])
728 8KKKJ (ThreeKind, [8, 13, 13, 13, 11])
729 92Q22 (ThreeKind, [9, 2, 12, 2, 2])
730 92KKK (ThreeKind, [9, 2, 13, 13, 13])
731 939Q9 (ThreeKind, [9, 3, 9, 12, 9])
732 93J99 (ThreeKind, [9, 3, 11, 9, 9])
733 95855 (ThreeKind, [9, 5, 8, 5, 5])
734 97767 (ThreeKind, [9, 7, 7, 6, 7])
735 99923 (ThreeKind, [9, 9, 9, 2, 3])
736 99KJ9 (ThreeKind, [9, 9, 13, 11, 9])
737 9T979 (ThreeKind, [9, 10, 9, 7, 9])
738 9Q995 (ThreeKind, [9, 12, 9, 9, 5])
739 9KKKQ (ThreeKind, [9, 13, 13, 13, 12])
740 9A996 (ThreeKind, [9, 14, 9, 9, 6])
741 T2TQT (ThreeKind, [10, 2, 10, 12, 10])
742 T3233 (ThreeKind, [10, 3, 2, 3, 3])
743 T3J33 (ThreeKind, [10, 3, 11, 3, 3])
744 T4447 (ThreeKind, [10, 4, 4, 4, 7])
745 T4TT3 (ThreeKind, [10, 4, 10, 10, 3])
746 T555J (ThreeKind, [10, 5, 5, 5, 11])
747 T5TTQ (ThreeKind, [10, 5, 10, 10, 12])
748 T6TJT (ThreeKind, [10, 6, 10, 11, 10])
749 T9QTT (ThreeKind, [10, 9, 12, 10, 10])
750 TT4JT (ThreeKind, [10, 10, 4, 11, 10])
751 TT5T7 (ThreeKind, [10, 10, 5, 10, 7])
752 TTJKT (ThreeKind, [10, 10, 11, 13, 10])
753 TJ2TT (ThreeKind, [10, 11, 2, 10, 10])
754 TQ8QQ (ThreeKind, [10, 12, 8, 12, 12])
755 TQTJT (ThreeKind, [10, 12, 10, 11, 10])
756 TQQQ2 (ThreeKind, [10, 12, 12, 12, 2])
757 TKT6T (ThreeKind, [10, 13, 10, 6, 10])
758 J2KKK (ThreeKind, [11, 2, 13, 13, 13])
759 J33A3 (ThreeKind, [11, 3, 3, 14, 3])
760 J3433 (ThreeKind, [11, 3, 4, 3, 3])
761 J3JJA (ThreeKind, [11, 3, 11, 11, 14])
762 J555Q (ThreeKind, [11, 5, 5, 5, 12])
763 J5AAA (ThreeKind, [11, 5, 14, 14, 14])
764 J7555 (ThreeKind, [11, 7, 5, 5, 5])
765 J9299 (ThreeKind, [11, 9, 2, 9, 9])
766 J9KKK (ThreeKind, [11, 9, 13, 13, 13])
767 JTTT7 (ThreeKind, [11, 10, 10, 10, 7])
768 JK4KK (ThreeKind, [11, 13, 4, 13, 13])
769 Q222K (ThreeKind, [12, 2, 2, 2, 13])
770 Q23QQ (ThreeKind, [12, 2, 3, 12, 12])
771 Q2Q9Q (ThreeKind, [12, 2, 12, 9, 12])
772 Q3Q4Q (ThreeKind, [12, 3, 12, 4, 12])
773 Q888K (ThreeKind, [12, 8, 8, 8, 13])
774 QJ2QQ (ThreeKind, [12, 11, 2, 12, 12])
775 QJ777 (ThreeKind, [12, 11, 7, 7, 7])
776 QQ24Q (ThreeKind, [12, 12, 2, 4, 12])
777 QQ2AQ (ThreeKind, [12, 12, 2, 14, 12])
778 QQK6Q (ThreeKind, [12, 12, 13, 6, 12])
779 QQAQ9 (ThreeKind, [12, 12, 14, 12, 9])
780 QK4QQ (ThreeKind, [12, 13, 4, 12, 12])
781 QKKK3 (ThreeKind, [12, 13, 13, 13, 3])
782 QA8AA (ThreeKind, [12, 14, 8, 14, 14])
783 K27KK (ThreeKind, [13, 2, 7, 13, 13])
784 K4999 (ThreeKind, [13, 4, 9, 9, 9])
785 K57KK (ThreeKind, [13, 5, 7, 13, 13])
786 K5J55 (ThreeKind, [13, 5, 11, 5, 5])
787 K9666 (ThreeKind, [13, 9, 6, 6, 6])
788 KTKK2 (ThreeKind, [13, 10, 13, 13, 2])
789 KQKKT (ThreeKind, [13, 12, 13, 13, 10])
790 KK3JK (ThreeKind, [13, 13, 3, 11, 13])
791 KKJ7K (ThreeKind, [13, 13, 11, 7, 13])
792 KKK48 (ThreeKind, [13, 13, 13, 4, 8])
793 KKK4T (ThreeKind, [13, 13, 13, 4, 10])
794 KKK6J (ThreeKind, [13, 13, 13, 6, 11])
795 KA7KK (ThreeKind, [13, 14, 7, 13, 13])
796 A22Q2 (ThreeKind, [14, 2, 2, 12, 2])
797 A333Q (ThreeKind, [14, 3, 3, 3, 12])
798 A3A5A (ThreeKind, [14, 3, 14, 5, 14])
799 A4222 (ThreeKind, [14, 4, 2, 2, 2])
800 A4744 (ThreeKind, [14, 4, 7, 4, 4])
801 A5QQQ (ThreeKind, [14, 5, 12, 12, 12])
802 A9AA2 (ThreeKind, [14, 9, 14, 14, 2])
803 AQAAT (ThreeKind, [14, 12, 14, 14, 10])
804 AK8AA (ThreeKind, [14, 13, 8, 14, 14])
805 AA4AK (ThreeKind, [14, 14, 4, 14, 13])
806 AA8JA (ThreeKind, [14, 14, 8, 11, 14])
807 AATAJ (ThreeKind, [14, 14, 10, 14, 11])
808 AAKTA (ThreeKind, [14, 14, 13, 10, 14])
809 AAA76 (ThreeKind, [14, 14, 14, 7, 6])
810 22525 (FullHourse, [2, 2, 5, 2, 5])
811 22772 (FullHourse, [2, 2, 7, 7, 2])
812 22JJ2 (FullHourse, [2, 2, 11, 11, 2])
813 29929 (FullHourse, [2, 9, 9, 2, 9])
814 2TT2T (FullHourse, [2, 10, 10, 2, 10])
815 2Q22Q (FullHourse, [2, 12, 2, 2, 12])
816 2KKK2 (FullHourse, [2, 13, 13, 13, 2])
817 33663 (FullHourse, [3, 3, 6, 6, 3])
818 33773 (FullHourse, [3, 3, 7, 7, 3])
819 33T3T (FullHourse, [3, 3, 10, 3, 10])
820 33Q3Q (FullHourse, [3, 3, 12, 3, 12])
821 35353 (FullHourse, [3, 5, 3, 5, 3])
822 38833 (FullHourse, [3, 8, 8, 3, 3])
823 3K33K (FullHourse, [3, 13, 3, 3, 13])
824 3AA3A (FullHourse, [3, 14, 14, 3, 14])
825 43433 (FullHourse, [4, 3, 4, 3, 3])
826 444JJ (FullHourse, [4, 4, 4, 11, 11])
827 44664 (FullHourse, [4, 4, 6, 6, 4])
828 44A4A (FullHourse, [4, 4, 14, 4, 14])
829 46664 (FullHourse, [4, 6, 6, 6, 4])
830 47774 (FullHourse, [4, 7, 7, 7, 4])
831 4TT44 (FullHourse, [4, 10, 10, 4, 4])
832 4K4K4 (FullHourse, [4, 13, 4, 13, 4])
833 55353 (FullHourse, [5, 5, 3, 5, 3])
834 55999 (FullHourse, [5, 5, 9, 9, 9])
835 55JJ5 (FullHourse, [5, 5, 11, 11, 5])
836 55K5K (FullHourse, [5, 5, 13, 5, 13])
837 56655 (FullHourse, [5, 6, 6, 5, 5])
838 58558 (FullHourse, [5, 8, 5, 5, 8])
839 5Q5Q5 (FullHourse, [5, 12, 5, 12, 5])
840 5K5KK (FullHourse, [5, 13, 5, 13, 13])
841 62626 (FullHourse, [6, 2, 6, 2, 6])
842 666TT (FullHourse, [6, 6, 6, 10, 10])
843 66996 (FullHourse, [6, 6, 9, 9, 6])
844 66J6J (FullHourse, [6, 6, 11, 6, 11])
845 67667 (FullHourse, [6, 7, 6, 6, 7])
846 68668 (FullHourse, [6, 8, 6, 6, 8])
847 75775 (FullHourse, [7, 5, 7, 7, 5])
848 77733 (FullHourse, [7, 7, 7, 3, 3])
849 77JJJ (FullHourse, [7, 7, 11, 11, 11])
850 79979 (FullHourse, [7, 9, 9, 7, 9])
851 7T77T (FullHourse, [7, 10, 7, 7, 10])
852 7JJ77 (FullHourse, [7, 11, 11, 7, 7])
853 7Q77Q (FullHourse, [7, 12, 7, 7, 12])
854 82828 (FullHourse, [8, 2, 8, 2, 8])
855 86688 (FullHourse, [8, 6, 6, 8, 8])
856 88787 (FullHourse, [8, 8, 7, 8, 7])
857 888AA (FullHourse, [8, 8, 8, 14, 14])
858 89899 (FullHourse, [8, 9, 8, 9, 9])
859 8J8J8 (FullHourse, [8, 11, 8, 11, 8])
860 8K8K8 (FullHourse, [8, 13, 8, 13, 8])
861 93339 (FullHourse, [9, 3, 3, 3, 9])
862 93399 (FullHourse, [9, 3, 3, 9, 9])
863 98898 (FullHourse, [9, 8, 8, 9, 8])
864 99966 (FullHourse, [9, 9, 9, 6, 6])
865 999KK (FullHourse, [9, 9, 9, 13, 13])
866 99J9J (FullHourse, [9, 9, 11, 9, 11])
867 9A99A (FullHourse, [9, 14, 9, 9, 14])
868 T2T22 (FullHourse, [10, 2, 10, 2, 2])
869 T8T8T (FullHourse, [10, 8, 10, 8, 10])
870 TT55T (FullHourse, [10, 10, 5, 5, 10])
871 TTTKK (FullHourse, [10, 10, 10, 13, 13])
872 TJTTJ (FullHourse, [10, 11, 10, 10, 11])
873 J2J2J (FullHourse, [11, 2, 11, 2, 11])
874 J333J (FullHourse, [11, 3, 3, 3, 11])
875 JQQJQ (FullHourse, [11, 12, 12, 11, 12])
876 JAAJJ (FullHourse, [11, 14, 14, 11, 11])
877 Q44QQ (FullHourse, [12, 4, 4, 12, 12])
878 Q6Q66 (FullHourse, [12, 6, 12, 6, 6])
879 QQ66Q (FullHourse, [12, 12, 6, 6, 12])
880 QQ77Q (FullHourse, [12, 12, 7, 7, 12])
881 QQ999 (FullHourse, [12, 12, 9, 9, 9])
882 QQQ55 (FullHourse, [12, 12, 12, 5, 5])
883 QQQ99 (FullHourse, [12, 12, 12, 9, 9])
884 QQQKK (FullHourse, [12, 12, 12, 13, 13])
885 K222K (FullHourse, [13, 2, 2, 2, 13])
886 K3K3K (FullHourse, [13, 3, 13, 3, 13])
887 K6K6K (FullHourse, [13, 6, 13, 6, 13])
888 K7KK7 (FullHourse, [13, 7, 13, 13, 7])
889 K8KK8 (FullHourse, [13, 8, 13, 13, 8])
890 KKTKT (FullHourse, [13, 13, 10, 13, 10])
891 KKQQK (FullHourse, [13, 13, 12, 12, 13])
892 KKKJJ (FullHourse, [13, 13, 13, 11, 11])
893 A6A66 (FullHourse, [14, 6, 14, 6, 6])
894 AJAAJ (FullHourse, [14, 11, 14, 14, 11])
895 AQQAA (FullHourse, [14, 12, 12, 14, 14])
896 AA66A (FullHourse, [14, 14, 6, 6, 14])
897 AA77A (FullHourse, [14, 14, 7, 7, 14])
898 AAQQQ (FullHourse, [14, 14, 12, 12, 12])
899 22223 (FourKind, [2, 2, 2, 2, 3])
900 22272 (FourKind, [2, 2, 2, 7, 2])
901 222J2 (FourKind, [2, 2, 2, 11, 2])
902 22T22 (FourKind, [2, 2, 10, 2, 2])
903 26666 (FourKind, [2, 6, 6, 6, 6])
904 2KKKK (FourKind, [2, 13, 13, 13, 13])
905 2AAAA (FourKind, [2, 14, 14, 14, 14])
906 33233 (FourKind, [3, 3, 2, 3, 3])
907 3333K (FourKind, [3, 3, 3, 3, 13])
908 33363 (FourKind, [3, 3, 3, 6, 3])
909 333J3 (FourKind, [3, 3, 3, 11, 3])
910 33533 (FourKind, [3, 3, 5, 3, 3])
911 33733 (FourKind, [3, 3, 7, 3, 3])
912 43333 (FourKind, [4, 3, 3, 3, 3])
913 44424 (FourKind, [4, 4, 4, 2, 4])
914 44434 (FourKind, [4, 4, 4, 3, 4])
915 44494 (FourKind, [4, 4, 4, 9, 4])
916 444A4 (FourKind, [4, 4, 4, 14, 4])
917 53555 (FourKind, [5, 3, 5, 5, 5])
918 54444 (FourKind, [5, 4, 4, 4, 4])
919 5555K (FourKind, [5, 5, 5, 5, 13])
920 55565 (FourKind, [5, 5, 5, 6, 5])
921 55595 (FourKind, [5, 5, 5, 9, 5])
922 555A5 (FourKind, [5, 5, 5, 14, 5])
923 55J55 (FourKind, [5, 5, 11, 5, 5])
924 5QQQQ (FourKind, [5, 12, 12, 12, 12])
925 5KKKK (FourKind, [5, 13, 13, 13, 13])
926 64444 (FourKind, [6, 4, 4, 4, 4])
927 65666 (FourKind, [6, 5, 6, 6, 6])
928 66646 (FourKind, [6, 6, 6, 4, 6])
929 66667 (FourKind, [6, 6, 6, 6, 7])
930 66686 (FourKind, [6, 6, 6, 8, 6])
931 66696 (FourKind, [6, 6, 6, 9, 6])
932 666K6 (FourKind, [6, 6, 6, 13, 6])
933 6J666 (FourKind, [6, 11, 6, 6, 6])
934 6A666 (FourKind, [6, 14, 6, 6, 6])
935 73777 (FourKind, [7, 3, 7, 7, 7])
936 75777 (FourKind, [7, 5, 7, 7, 7])
937 77727 (FourKind, [7, 7, 7, 2, 7])
938 777T7 (FourKind, [7, 7, 7, 10, 7])
939 777J7 (FourKind, [7, 7, 7, 11, 7])
940 77977 (FourKind, [7, 7, 9, 7, 7])
941 84444 (FourKind, [8, 4, 4, 4, 4])
942 84888 (FourKind, [8, 4, 8, 8, 8])
943 86888 (FourKind, [8, 6, 8, 8, 8])
944 88882 (FourKind, [8, 8, 8, 8, 2])
945 88885 (FourKind, [8, 8, 8, 8, 5])
946 88887 (FourKind, [8, 8, 8, 8, 7])
947 89888 (FourKind, [8, 9, 8, 8, 8])
948 8JJJJ (FourKind, [8, 11, 11, 11, 11])
949 8QQQQ (FourKind, [8, 12, 12, 12, 12])
950 8A888 (FourKind, [8, 14, 8, 8, 8])
951 99599 (FourKind, [9, 9, 5, 9, 9])
952 99969 (FourKind, [9, 9, 9, 6, 9])
953 99994 (FourKind, [9, 9, 9, 9, 4])
954 999A9 (FourKind, [9, 9, 9, 14, 9])
955 9T999 (FourKind, [9, 10, 9, 9, 9])
956 9J999 (FourKind, [9, 11, 9, 9, 9])
957 T2TTT (FourKind, [10, 2, 10, 10, 10])
